,value,latitude,longitude
4087,194,28.581197,77.234291
3930,267,28.739434,77.245721
4020,273,28.822931,77.101961
4057,129,28.620806,76.991463
3998,176,28.60909,77.0325413
4104,172,28.570859,77.072196
4009,168,28.5646102,77.1670103
4099,105,28.5627763,77.1180053
4074,203,28.530782,77.272404
4068,192,28.563827,77.26075
4039,95,28.610304,77.0996943
3947,148,28.5918245,77.2273074
4004,203,28.732219,77.09211
4112,221,28.668672,77.317084
4103,141,28.6573814,77.1585447
4078,192,28.6802747,77.2011573
4015,203,28.612561,77.237372
3959,152,28.632707,77.305651
3960,185,28.6514781,77.1473105
3980,290,28.699254,77.16482
4041,273,28.728722,77.170221
4005,173,28.6372688,77.2005604
3970,269,28.7256504,77.2011573
4089,160,28.669119,77.136777
396386,78,28.49968,77.267246
4117,211,28.6316945,77.2494387
4072,252,28.5512005,77.2735737
4033,133,28.5504249,77.2159377
396397,77,28.7500499,77.1112615
4180,96,28.63576,77.22445
